"ttkVertexScalarField","CriticalType","Coordinates:0","Coordinates:1","Coordinates:2","Points:0","Points:1","Points:2"
0,0,-1,-1,0,-8.62255,-8.62255,0
1514,3,-0.533334,-0.166667,0,-8.62255,1.38517,0
256,0,-0.466667,-0.866667,0,-8.62255,-8.62255,0
196,1,-0.466667,-0.9,0,-8.62255,-8.29824,0
1050,0,-9.53674e-07,-0.433334,0,-8.62255,-8.62255,0
741,1,-0.300001,-0.6,0,-8.62255,-2.84673,0
1107,0,-0.100001,-0.400001,0,-8.62255,-8.62255,0
1109,1,-0.0333343,-0.400001,0,-8.62255,-8.62255,0
1165,0,-0.166667,-0.366667,0,-8.62255,-8.62255,0
1166,1,-0.133334,-0.366667,0,-8.62255,-8.62255,0
3323,0,-0.233334,0.833332,0,-8.62255,-8.62255,0
3382,1,-0.266667,0.866665,0,-8.62255,-8.62255,0
3388,0,-0.0666676,0.866665,0,-8.62255,-8.62255,0
3447,1,-0.100001,0.899998,0,-8.62255,-8.62255,0
3460,0,0.333332,0.899998,0,-8.62255,-8.62255,0
3464,1,0.466665,0.899998,0,-8.62255,-8.62255,0
3578,2,0.266665,0.966665,0,-8.62255,-8.62255,0
3599,3,0.966665,0.966665,0,-8.62255,-8.62255,0
801,0,-0.300001,-0.566667,0,-2.96399,-2.96399,0
802,1,-0.266667,-0.566667,0,-2.96399,-2.91912,0
2481,2,-0.300001,0.366665,0,-1.58232,-1.58232,0
2557,3,0.233332,0.399999,0,-1.58232,1.35784,0
1846,2,0.533332,-9.53674e-07,0,-1.40684,-1.40684,0
697,3,0.233332,-0.633334,0,-1.40684,1.30199,0
760,2,0.333332,-0.6,0,1.09312,1.09312,0
820,3,0.333332,-0.566667,0,1.09312,1.13483,0
637,2,0.233332,-0.666667,0,1.22448,1.22448,0
636,3,0.199999,-0.666667,0,1.22448,1.24803,0
758,2,0.266665,-0.6,0,1.22835,1.22835,0
759,3,0.299999,-0.6,0,1.22835,1.24068,0
