"Persistence (minimum-saddle pairs)","Number Of Pairs (minimum-saddle pairs)"
1e-14,40
1e-14,39
1e-14,38
1e-14,37
1e-14,36
1e-14,35
1e-14,34
1e-14,33
1e-14,32
1e-14,31
1e-14,30
1e-14,29
1e-14,28
1e-14,27
1e-14,26
1e-14,25
1e-14,24
1e-14,23
4.76837e-07,22
0.00965261,21
0.0108581,20
0.0112109,19
0.0130844,18
0.0167894,17
0.0171018,16
0.0173283,15
0.0193291,14
0.0222397,13
0.0301719,12
0.0401502,11
0.0487041,10
0.0497184,9
0.0537214,8
0.0614257,7
0.0733423,6
0.0758791,5
0.0765295,4
0.249697,3
0.321425,2
9.24489,1
