"ttkVertexScalarField","CriticalType","Coordinates:0","Coordinates:1","Coordinates:2","Points:0","Points:1","Points:2"
899,0,0.933334,0.933334,-1,-7.3008,-7.3008,0
12161,3,-0.266666,4.76837e-07,-0.133333,-7.3008,1.94409,0
9156,2,-0.6,-0.666667,-0.333333,-2.50538,-2.50538,0
19058,3,-0.466666,-0.666667,0.400001,-2.50538,0.4947,0
4871,2,-0.266666,-0.2,-0.666667,-1.80775,-1.80775,0
3018,3,0.200001,-0.333333,-0.8,-1.80775,-0.555851,0
8591,2,-0.266666,0.0666672,-0.4,-0.68023,-0.68023,0
6881,3,-0.266666,0.266667,-0.533333,-0.68023,0.760564,0
12975,2,4.76837e-07,-0.2,-0.0666662,-0.581926,-0.581926,0
14658,3,0.200001,-0.466666,0.0666672,-0.581926,0.637574,0
